
03-24 15:05:11.991  5390  5441 W Unity   : CanvasAdaption:OnDisplayResolutionChanged(Vector2)
03-24 15:05:11.991  5390  5441 W Unity   : CanvasAdaption:Awake()
03-24 15:05:11.991  5390  5441 W Unity   : NREAL.HOME.<InitNRSDK>d__6:MoveNext()
03-24 15:05:11.991  5390  5441 W Unity   : UnityEngine.SetupCoroutine:InvokeMoveNext(IEnumerator, IntPtr)
03-24 15:05:11.991  5390  5441 W Unity   :  
03-24 15:05:11.991  5390  5441 W Unity   : (Filename: ./Runtime/Export/Debug.bindings.h Line: 45)
03-24 15:05:11.991  5390  5441 W Unity   : 
03-24 15:05:11.992  5390  5441 W Unity   : [EventCenter] hasn't the key:Event_OnFoldStateExit
03-24 15:05:11.992  5390  5441 W Unity   : CanvasAdaption:OnDisplayResolutionChanged(Vector2)
03-24 15:05:11.992  5390  5441 W Unity   : CanvasAdaption:Awake()
03-24 15:05:11.992  5390  5441 W Unity   : NREAL.HOME.<InitNRSDK>d__6:MoveNext()
03-24 15:05:11.992  5390  5441 W Unity   : UnityEngine.SetupCoroutine:InvokeMoveNext(IEnumerator, IntPtr)
03-24 15:05:11.992  5390  5441 W Unity   :  
03-24 15:05:11.992  5390  5441 W Unity   : (Filename: ./Runtime/Export/Debug.bindings.h Line: 45)
03-24 15:05:11.992  5390  5441 W Unity   : 
03-24 15:05:11.994  5390  5441 I Unity   : [Info][SessionBehaviour] Awake: CreateSession
03-24 15:05:11.994  5390  5441 I Unity   : NRKernal.DefaultLogHelper:Log(LogLevel, Object)
03-24 15:05:11.994  5390  5441 I Unity   : NRKernal.NRSessionBehaviour:Awake()
03-24 15:05:11.994  5390  5441 I Unity   : NREAL.HOME.<InitNRSDK>d__6:MoveNext()
03-24 15:05:11.994  5390  5441 I Unity   : UnityEngine.SetupCoroutine:InvokeMoveNext(IEnumerator, IntPtr)
03-24 15:05:11.994  5390  5441 I Unity   :  
03-24 15:05:11.994  5390  5441 I Unity   : (Filename: ./Runtime/Export/Debug.bindings.h Line: 45)
03-24 15:05:11.994  5390  5441 I Unity   : 
03-24 15:05:13.337  5390  5441 I Unity   : [Info][SessionBehaviour] OnEnable: ResumeSession
03-24 15:05:13.337  5390  5441 I Unity   : NRKernal.DefaultLogHelper:Log(LogLevel, Object)
03-24 15:05:13.337  5390  5441 I Unity   : NRKernal.NRSessionBehaviour:OnEnable()
03-24 15:05:13.337  5390  5441 I Unity   : NREAL.HOME.<InitNRSDK>d__6:MoveNext()
03-24 15:05:13.337  5390  5441 I Unity   : UnityEngine.SetupCoroutine:InvokeMoveNext(IEnumerator, IntPtr)
03-24 15:05:13.337  5390  5441 I Unity   :  
03-24 15:05:13.337  5390  5441 I Unity   : (Filename: ./Runtime/Export/Debug.bindings.h Line: 45)
03-24 15:05:13.337  5390  5441 I Unity   : 
03-24 15:05:13.348  5390  5441 I Unity   : [Info][SessionBehaviour] OnApplicationPause: False
03-24 15:05:13.348  5390  5441 I Unity   : NRKernal.DefaultLogHelper:Log(LogLevel, Object)
03-24 15:05:13.348  5390  5441 I Unity   : NRKernal.NRSessionBehaviour:OnApplicationPause(Boolean)
03-24 15:05:13.348  5390  5441 I Unity   :  
03-24 15:05:13.348  5390  5441 I Unity   : (Filename: ./Runtime/Export/Debug.bindings.h Line: 45)
03-24 15:05:13.348  5390  5441 I Unity   : 
03-24 15:05:13.348  5390  5441 W Unity   : [CanvasAdaption] OnApplicationPause: pause = False
03-24 15:05:13.348  5390  5441 W Unity   : CanvasAdaption:OnApplicationPause(Boolean)
03-24 15:05:13.348  5390  5441 W Unity   :  
03-24 15:05:13.348  5390  5441 W Unity   : (Filename: ./Runtime/Export/Debug.bindings.h Line: 45)
03-24 15:05:13.348  5390  5441 W Unity   : 
03-24 15:05:13.382  5390  5441 I Unity   : [CameraSmoothFollow] Start: Root distance to camera is 1.4, transform pos = (0.0000, 0.0000, -1.4000), cam pos = (0.0000, 0.0000, 0.0000)
03-24 15:05:13.382  5390  5441 I Unity   : NREAL.HOME.CameraSmoothFollow:Awake()
03-24 15:05:13.382  5390  5441 I Unity   : UnityEngine.Object:Instantiate(T)
03-24 15:05:13.382  5390  5441 I Unity   : NREAL.HOME.NativeAppInput:InitKeyboardStateTip()
03-24 15:05:13.382  5390  5441 I Unity   :  
03-24 15:05:13.382  5390  5441 I Unity   : (Filename: ./Runtime/Export/Debug.bindings.h Line: 45)
03-24 15:05:13.382  5390  5441 I Unity   : 
03-24 15:05:13.382  5390  5441 I Unity   : [Info][NRVirtualDisplayer] Start
03-24 15:05:13.382  5390  5441 I Unity   : NRKernal.DefaultLogHelper:Log(LogLevel, Object)
03-24 15:05:13.382  5390  5441 I Unity   : NRKernal.NRVirtualDisplayer:Start()
03-24 15:05:13.382  5390  5441 I Unity   :  
03-24 15:05:13.382  5390  5441 I Unity   : (Filename: ./Runtime/Export/Debug.bindings.h Line: 45)
03-24 15:05:13.382  5390  5441 I Unity   : 
03-24 15:05:13.386  5390  5441 I Unity   : [Info][NRVirtualDisplayer] Bind unity virtual controller
03-24 15:05:13.386  5390  5441 I Unity   : NRKernal.DefaultLogHelper:Log(LogLevel, Object)
